,,,,,,,,,,,,,,,,,,,,,,
Date,FlightNumber,From,To,Departure,Arrival,Duration,Airline,Aircraft,Registration,Seat,Seat type,Class,Reason,IsInternational,DepID,ArrID,AirlineID,AircraftID,TicketPrice,DepartureTraffic,ArrivalTraffic,GoArounds
2024-10-29,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),19:20:00,21:10:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),9H-TAU,10F,1,4,1,0,4623,3659,3126,2123,2900,,,
2024-11-22,TK2858,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),17:45:00,19:15:00,01:30:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JHZ,9F,1,4,1,0,8949,2001,769,231,2200,,,
2024-12-06,TO3289,Istanbul / Istanbul Airport (IST/LTFM),Paris / Orly (ORY/LFPO),18:55:00,20:55:00,03:00:00,Transavia.com France (TO/TVF),Boeing 737-800 (B738),F-HUYH,10F,1,1,1,1,8949,2215,1397,231,4479.42,,,
2024-12-08,TO3288,Paris / Orly (ORY/LFPO),Istanbul / Istanbul Airport (IST/LTFM),14:10:00,19:50:00,04:40:00,Transavia.com France (TO/TVF),Boeing 737-800 (B738),F-GZHX,10F,1,1,1,1,2215,8949,1397,231,4479.42,,,
2025-01-13,TK1751,Istanbul / Istanbul Airport (IST/LTFM),Oslo / Gardermoen (OSL/ENGM),08:55:00,11:00:00,03:05:00,Turkish Airlines (TK/THY),Airbus A321neo (A21N),TC-LPK,9A,1,1,1,1,8949,2219,769,2128,7277.89,,,
2025-01-16,SK4416,Oslo / Gardermoen (OSL/ENGM),Tromso / Tromso (TOS/ENTC),09:35:00,11:35:00,02:00:00,Scandinavian Airlines (SK/SAS),Airbus A320neo (A20N),SE-ROE,30A,1,1,1,0,2219,2989,677,2127,4069,,,
2025-01-20,SK1491,Tromso / Tromso (TOS/ENTC),Stockholm / Arlanda (ARN/ESSA),10:45:00,12:50:00,02:05:00,Scandinavian Airlines (SK/SAS),Airbus A320neo (A20N),SE-ROA,21A,1,1,1,1,2989,3622,677,2127,2521.06,,,
2025-01-23,D82603,Stockholm / Arlanda (ARN/ESSA),Helsinki / Vantaa (HEL/EFHK),08:25:00,10:20:00,00:55:00,Norwegian Air International (D8/IBK),Boeing 737 MAX 8 (B38M),SE-RTF,10A,1,1,1,1,3622,1110,1644,2123,2005.27,,,
2025-01-26,TK1762,Helsinki / Vantaa (HEL/EFHK),Istanbul / Istanbul Airport (IST/LTFM),12:25:00,17:15:00,04:50:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JVI,25D,3,1,1,1,1110,8949,769,231,7277.88,,,
2025-01-26,TK2466,Istanbul / Istanbul Airport (IST/LTFM),Mersin / Mersin Cukurova International Airport (COV/LTDB),18:55:00,20:30:00,01:35:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-LTK,10F,1,1,1,0,8949,10071,769,28,2302,,,
2024-11-25,PC2781,Amasya / Merzifon (MZH/LTAP),Istanbul / Sabiha Gokcen (SAW/LTFJ),15:30:00,16:55:00,01:25:00,Pegasus Airlines (PC/PGT),Airbus A320neo (A20N),TC-NBN,10A,1,1,1,0,2001,3659,1014,2127,,,,
2024-12-29,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),21:15:00,23:05:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),9H-TAU,8F,1,1,1,0,4623,3659,3126,2123,,,,
2024-12-20,VF3242,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),17:45:00,19:25:00,01:40:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),9H-CHI,8F,1,1,1,0,3659,4623,3126,2123,,,,
2025-02-04,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),19:20:00,21:10:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737-800 (B738),TC-JFP,22F,1,1,1,0,4623,3659,3126,231,,,,
2025-03-28,TK2858,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),17:45:00,19:15:00,01:30:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JVR,7F,1,1,1,0,8949,2001,769,231,,,,
2025-04-06,TK2859,Amasya / Merzifon (MZH/LTAP),Istanbul / Istanbul Airport (IST/LTFM),19:25:00,21:00:00,01:35:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JSJ,3A,1,1,1,0,2001,8949,769,28,,,,
2025-04-25,TK2254,Istanbul / Istanbul Airport (IST/LTFM),Antakya / Hatay (HTY/LTDA),12:55:00,14:45:00,01:50:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JRT,02A,1,2,1,0,8949,4623,769,28,,,,
2025-04-27,TK2255,Antakya / Hatay (HTY/LTDA),Istanbul / Istanbul Airport (IST/LTFM),15:30:00,17:30:00,02:00:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JRS,10A,1,4,1,0,4623,8949,769,28,,,,
2025-05-16,VF3242,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),10:35:00,12:20:00,01:45:00,AJet Airlines (VF/TKJ),Airbus A321neo (A21N),TC-LUE,19F,1,1,1,0,3659,4623,3126,2128,,,,
2025-05-19,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),13:05:00,14:50:00,01:45:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),TC-LAG,27F,1,1,1,0,4623,3659,3126,2123,,,,
2025-06-02,TK2854,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),06:10:00,07:35:00,01:25:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JHZ,9F,1,4,1,0,8949,2001,769,231,4447.53,,,
2025-07-02,TK2455,Mersin / Mersin Cukurova International Airport (COV/LTDB),Istanbul / Istanbul Airport (IST/LTFM),08:35:00,10:25:00,01:14:00,Turkish Airlines (TK/THY),Boeing 737-900 (B739),TC-JYG,19F,1,1,1,0,10071,8949,769,232,2989.92,,,
2025-07-01,TK1079,Istanbul / Istanbul Airport (IST/LTFM),Belgrade / Nikola Tesla Beograd (BEG/LYBE),14:20:00,15:10:00,01:50:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JTG,24A,1,1,1,1,8949,261,769,28,4500,,,
2025-07-09,TK1080,Belgrade / Nikola Tesla Beograd (BEG/LYBE),Istanbul / Istanbul Airport (IST/LTFM),16:00:00,18:50:00,01:50:00,Turkish Airlines (TK/THY),Airbus A321 (A321),TC-JTO,24D,3,1,1,1,261,8949,769,28,4500,,,
2025-07-09,TK2476,Istanbul / Istanbul Airport (IST/LTFM),Mersin / Mersin Cukurova International Airport (COV/LTDB),23:55:00,00:35:00,01:40:00,Turkish Airlines (TK/THY),Airbus A321-200 (A321),TC-JMH,15F,1,1,1,0,8949,10071,769,2076,2639.92,,,
2025-09-27,TK2255,Antakya / Hatay (HTY/LTDA),Istanbul / Istanbul Airport (IST/LTFM),15:30:00,17:30:00,02:00:00,Turkish Airlines (TK/THY),Boeing 737 MAX 8 (B38M),TC-LCH,07F,1,4,1,0,4623,8949,769,2123,3315.60,,,
2025-10-24,VF3244,Istanbul / Sabiha Gokcen (SAW/LTFJ),Antakya / Hatay (HTY/LTDA),18:40:00,20:15:00,01:35:00,AJet Airlines (VF/TKJ),Airbus A321neo (A21N),TC-LTV,2F,1,4,1,0,3659,4623,3126,2128,3546.39,,,
2025-10-26,VF3243,Antakya / Hatay (HTY/LTDA),Istanbul / Sabiha Gokcen (SAW/LTFJ),20:20:00,22:10:00,01:50:00,AJet Airlines (VF/TKJ),Boeing 737 MAX 8 (B38M),TC-LAK,2F,1,4,1,0,4623,3659,3126,2123,3546.39,,,
2025-11-28,TK2858,Istanbul / Istanbul Airport (IST/LTFM),Amasya / Merzifon (MZH/LTAP),18:00:00,19:25:00,01:25:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),TC-JHP,3F,1,4,1,0,8949,2001,769,231,,,,
