station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAP,2024-06-03 21:50,35.5833,40.8500,535.00,60.80,51.80,72.20,,1.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,60.80,LTAP 032150Z VRB01KT CAVOK 16/11 Q1016 NOSIG RMK RWY23 VRB01KT,
LTAP,2024-06-03 22:20,35.5833,40.8500,535.00,59.00,51.80,76.98,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 032220Z 00000KT CAVOK 15/11 Q1016 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-03 22:50,35.5833,40.8500,535.00,60.80,53.60,77.14,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,60.80,LTAP 032250Z 00000KT CAVOK 16/12 Q1016 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-03 23:20,35.5833,40.8500,535.00,59.00,51.80,76.98,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 032320Z 00000KT CAVOK 15/11 Q1016 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-03 23:50,35.5833,40.8500,535.00,59.00,53.60,82.25,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 032350Z 00000KT CAVOK 15/12 Q1016 NOSIG RMK RWY23 32003KT,
LTAP,2024-06-04 00:20,35.5833,40.8500,535.00,57.20,51.80,82.12,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,57.20,LTAP 040020Z 00000KT CAVOK 14/11 Q1016 NOSIG RMK RWY23 VRB01KT,
LTAP,2024-06-04 00:50,35.5833,40.8500,535.00,59.00,53.60,82.25,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 040050Z 00000KT CAVOK 15/12 Q1016 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 01:20,35.5833,40.8500,535.00,57.20,51.80,82.12,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,57.20,LTAP 040120Z 00000KT CAVOK 14/11 Q1016 NOSIG RMK RWY23 03003KT,
LTAP,2024-06-04 01:50,35.5833,40.8500,535.00,55.40,50.00,81.99,0.00,0.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,55.40,LTAP 040150Z 00000KT CAVOK 13/10 Q1016 NOSIG RMK RWY23 02003KT,
LTAP,2024-06-04 02:20,35.5833,40.8500,535.00,53.60,50.00,87.56,0.00,0.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,53.60,LTAP 040220Z 00000KT CAVOK 12/10 Q1017 NOSIG RMK RWY23 01003KT,
LTAP,2024-06-04 02:50,35.5833,40.8500,535.00,55.40,50.00,81.99,0.00,0.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,55.40,LTAP 040250Z 00000KT CAVOK 13/10 Q1017 NOSIG RMK RWY23 36002KT,
LTAP,2024-06-04 03:20,35.5833,40.8500,535.00,59.00,51.80,76.98,,1.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 040320Z VRB01KT CAVOK 15/11 Q1017 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-04 03:50,35.5833,40.8500,535.00,64.40,53.60,67.95,0.00,0.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 040350Z 00000KT CAVOK 18/12 Q1017 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-04 04:20,35.5833,40.8500,535.00,68.00,53.60,59.97,0.00,0.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,68.00,LTAP 040420Z 00000KT CAVOK 20/12 Q1017 NOSIG RMK RWY23 VRB01KT,
LTAP,2024-06-04 04:50,35.5833,40.8500,535.00,69.80,55.40,60.21,,1.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,69.80,LTAP 040450Z VRB01KT CAVOK 21/13 Q1017 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 05:20,35.5833,40.8500,535.00,71.60,53.60,53.03,,2.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,71.60,LTAP 040520Z VRB02KT CAVOK 22/12 Q1017 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 05:50,35.5833,40.8500,535.00,73.40,53.60,49.90,150.00,3.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,73.40,LTAP 040550Z 15003KT 080V220 CAVOK 23/12 Q1017 NOSIG RMK RWY23 VRB03KT,
LTAP,2024-06-04 06:20,35.5833,40.8500,535.00,75.20,55.40,50.17,,2.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,75.20,LTAP 040620Z VRB02KT CAVOK 24/13 Q1016 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 06:50,35.5833,40.8500,535.00,77.00,55.40,47.25,,4.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,77.00,LTAP 040650Z VRB04KT CAVOK 25/13 Q1016 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 07:20,35.5833,40.8500,535.00,80.60,55.40,41.97,,1.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,80.53,LTAP 040720Z VRB01KT CAVOK 27/13 Q1016 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-04 07:50,35.5833,40.8500,535.00,82.40,53.60,37.07,,2.00,0.00,29.97,,6.21,,,,,,,,,,,,,,,,,81.46,LTAP 040750Z VRB02KT CAVOK 28/12 Q1015 NOSIG RMK RWY23 VRB03KT,
LTAP,2024-06-04 08:20,35.5833,40.8500,535.00,84.20,53.60,34.97,,2.00,0.00,29.97,,6.21,,,,,,,,,,,,,,,,,82.76,LTAP 040820Z VRB02KT CAVOK 29/12 Q1015 NOSIG RMK RWY23 VRB03KT,
